Word	MorphoLexSegm	Roots
y's	{(y)}	['y']
yachted	{(yacht)}	['yacht']
yah	{(yah)}	['yah']
yahoos	{(yahoo)}	['yahoo']
yakima	{(yakima)}	['yakima']
yakked	{(yak)}	['yak']
yakking	{(yak)}	['yak']
yammered	{(yammer)}	['yammer']
yammering	{(yammer)}	['yammer']
yammers	{(yammer)}	['yammer']
yams	{(yam)}	['yam']
yang	{(yang)}	['yang']
yapped	{(yap)}	['yap']
yaps	{(yap)}	['yap']
yarned	{(yarn)}	['yarn']
yarning	{(yarn)}	['yarn']
yaw	{(yaw)}	['yaw']
yawed	{(yaw)}	['yaw']
yawing	{(yaw)}	['yaw']
yawls	{(yawl)}	['yawl']
yawned	{(yawn)}	['yawn']
yawns	{(yawn)}	['yawn']
yearns	{(yearn)}	['yearn']
yeas	{(yea)}	['yea']
yellows	{(yellow)}	['yellow']
yells	{(yell)}	['yell']
yens	{(yen)}	['yen']
yetis	{(yeti)}	['yeti']
yew	{(yew)}	['yew']
yews	{(yew)}	['yew']
yid	{(yid)}	['yid']
yids	{(yid)}	['yid']
yob	{(yob)}	['yob']
yobbo	{(yobbo)}	['yobbo']
yobbos	{(yobbo)}	['yobbo']
yobs	{(yob)}	['yob']
yodelled	{(yodel)}	['yodel']
yodelling	{(yodel)}	['yodel']
yodels	{(yodel)}	['yodel']
yoghurt	{(yoghurt)}	['yoghurt']
yoghurts	{(yoghurt)}	['yoghurt']
yogi	{(yogi)}	['yogi']
yogis	{(yogi)}	['yogi']
yoked	{(yoke)}	['yoke']
yokes	{(yoke)}	['yoke']
yolks	{(yolk)}	['yolk']
yowled	{(yowl)}	['yowl']
yowling	{(yowl)}	['yowl']
yowls	{(yowl)}	['yowl']
yuccas	{(yucca)}	['yucca']
yule	{(yule)}	['yule']
yuri	{(yuri)}	['yuri']
yvette	{(yvette)}	['yvette']
zanzibar	{(zanzibar)}	['zanzibar']
zapped	{(zap)}	['zap']
zapping	{(zap)}	['zap']
zaps	{(zap)}	['zap']
zebras	{(zebra)}	['zebra']
zebu	{(zebu)}	['zebu']
zebus	{(zebu)}	['zebu']
zed	{(zed)}	['zed']
zeds	{(zed)}	['zed']
zee	{(zee)}	['zee']
zees	{(zee)}	['zee']
zeffirelli	{(zeffirelli)}	['zeffirelli']
zeniths	{(zenith)}	['zenith']
zephyrs	{(zephyr)}	['zephyr']
zeppelins	{(zeppelin)}	['zeppelin']
wesson	{(wesson)}	['wesson']
westbrook	{(westbrook)}	['westbrook']
westfield	{(westfield)}	['westfield']
westmore	{(westmore)}	['westmore']
weston	{(weston)}	['weston']
westphalia	{(westphalia)}	['westphalia']
westport	{(westport)}	['westport']
westwood	{(westwood)}	['westwood']
wets	{(wet)}	['wet']
wettings	{(wet)}	['wet']
whacking	{(whack)}	['whack']
whacks	{(whack)}	['whack']
whaddya	{(whaddya)}	['whaddya']
whaled	{(whale)}	['whale']
whales	{(whale)}	['whale']
whams	{(wham)}	['wham']
wharfs	{(wharf)}	['wharf']
wheaton	{(wheaton)}	['wheaton']
whee	{(whee)}	['whee']
wheedle	{(wheedle)}	['wheedle']
wheedled	{(wheedle)}	['wheedle']
wheedles	{(wheedle)}	['wheedle']
whelan	{(whelan)}	['whelan']
whelk	{(whelk)}	['whelk']
whelks	{(whelk)}	['whelk']
whelped	{(whelp)}	['whelp']
whelping	{(whelp)}	['whelp']
whelps	{(whelp)}	['whelp']
wherry	{(wherry)}	['wherry']
whets	{(whet)}	['whet']
whetting	{(whet)}	['whet']
whiffed	{(whiff)}	['whiff']
whiffing	{(whiff)}	['whiff']
whiffs	{(whiff)}	['whiff']
whimpered	{(whimper)}	['whimper']
whimpers	{(whimper)}	['whimper']
whines	{(whine)}	['whine']
whinnying	{(whinny)}	['whinny']
whippets	{(whippet)}	['whippet']
whippings	{(whip)}	['whip']
whipple	{(whipple)}	['whipple']
whirligigs	{(whirligig)}	['whirligig']
whirls	{(whirl)}	['whirl']
whirr	{(whirr)}	['whirr']
whirred	{(whirr)}	['whirr']
whirrs	{(whirr)}	['whirr']
whisks	{(whisk)}	['whisk']
whist	{(whist)}	['whist']
whistles	{(whistle)}	['whistle']
whit	{(whit)}	['whit']
whitfield	{(whitfield)}	['whitfield']
whittaker	{(whittaker)}	['whittaker']
whittled	{(whittle)}	['whittle']
whittles	{(whittle)}	['whittle']
whizzes	{(whizz)}	['whizz']
whooped	{(whoop)}	['whoop']
whoops	{(whoop)}	['whoop']
whooshes	{(whoosh)}	['whoosh']
whop	{(whop)}	['whop']
whopped	{(whop)}	['whop']
whops	{(whop)}	['whop']
whys	{(why)}	['why']
wicks	{(wick)}	['wick']
wides	{(wide)}	['wide']
widgeon	{(widgeon)}	['widgeon']
widgeons	{(widgeon)}	['widgeon']
wielding	{(wield)}	['wield']
wields	{(wield)}	['wield']
wigged	{(wig)}	['wig']
wigging	{(wig)}	['wig']
wiggings	{(wig)}	['wig']
wiggles	{(wiggle)}	['wiggle']
wight	{(wight)}	['wight']
wights	{(wight)}	['wight']
wigs	{(wig)}	['wig']
wigwams	{(wigwam)}	['wigwam']
wilcox	{(wilcox)}	['wilcox']
wilde	{(wilde)}	['wilde']
wildebeests	{(wildebeest)}	['wildebeest']
wilds	{(wild)}	['wild']
wilfrid	{(wilfrid)}	['wilfrid']
wilhelmina	{(wilhelmina)}	['wilhelmina']
wilkes	{(wilkes)}	['wilkes']
wilkinson	{(wilkinson)}	['wilkinson']
willa	{(willa)}	['willa']
willard	{(willard)}	['willard']
willcox	{(willcox)}	['willcox']
willett	{(willett)}	['willett']
william's	{(william)}	['william']
williams	{(williams)}	['williams']
williamson's	{(williamson)}	['williamson']
willies	{(willies)}	['willies']
wilmington	{(wilmington)}	['wilmington']
wilshire	{(wilshire)}	['wilshire']
wilting	{(wilt)}	['wilt']
wilton	{(wilton)}	['wilton']
wiltons	{(wilton)}	['wilton']
wilts	{(wilt)}	['wilt']
wimple	{(wimple)}	['wimple']
wimples	{(wimple)}	['wimple']
winces	{(wince)}	['wince']
winch	{(winch)}	['winch']
winched	{(winch)}	['winch']
winching	{(winch)}	['winch']
windlass	{(windlass)}	['windlass']
windlasses	{(windlass)}	['windlass']
winfield	{(winfield)}	['winfield']
winkle	{(winkle)}	['winkle']
winkles	{(winkle)}	['winkle']
winks	{(wink)}	['wink']
winnow	{(winnow)}	['winnow']
winnowed	{(winnow)}	['winnow']
winnowing	{(winnow)}	['winnow']
winnows	{(winnow)}	['winnow']
winslow	{(winslow)}	['winslow']
wipes	{(wipe)}	['wipe']
wis	{(wis)}	['wis']
wised	{(wise)}	['wise']
wisterias	{(wisteria)}	['wisteria']
witching	{(witch)}	['witch']
withe	{(withe)}	['withe']
withers	{(wither)}	['wither']
witherspoon	{(witherspoon)}	['witherspoon']
withes	{(withe)}	['withe']
withy	{(withy)}	['withy']
wizards	{(wizard)}	['wizard']
wizen	{(wizen)}	['wizen']
wizened	{(wizen)}	['wizen']
wizening	{(wizen)}	['wizen']
wizens	{(wizen)}	['wizen']
woad	{(woad)}	['woad']
wobbles	{(wobble)}	['wobble']
woes	{(woe)}	['woe']
wold	{(wold)}	['wold']
wolds	{(wold)}	['wold']
wolfe	{(wolfe)}	['wolfe']
wolfed	{(wolf)}	['wolf']
vive	{(vive)}	['vive']
vixens	{(vixen)}	['vixen']
viz	{(viz)}	['viz']
vizier	{(vizier)}	['vizier']
viziers	{(vizier)}	['vizier']
vocations	{(vocation)}	['vocation']
voce	{(voce)}	['voce']
voces	{(voce)}	['voce']
vodkas	{(vodka)}	['vodka']
vogues	{(vogue)}	['vogue']
voided	{(void)}	['void']
voiding	{(void)}	['void']
vol	{(vol)}	['vol']
vole	{(vole)}	['vole']
voles	{(vole)}	['vole']
volleyed	{(volley)}	['volley']
volleying	{(volley)}	['volley']
volleys	{(volley)}	['volley']
volta	{(volta)}	['volta']
volta's	{(volta)}	['volta']
voltaire	{(voltaire)}	['voltaire']
voltaire's	{(voltaire)}	['voltaire']
volute	{(volute)}	['volute']
voluted	{(volute)}	['volute']
volutes	{(volute)}	['volute']
vomited	{(vomit)}	['vomit']
vomits	{(vomit)}	['vomit']
von	{(von)}	['von']
vortexes	{(vortex)}	['vortex']
vortices	{(vortices)}	['vortices']
vox	{(vox)}	['vox']
voyaged	{(voyage)}	['voyage']
voyeurs	{(voyeur)}	['voyeur']
vue	{(vue)}	['vue']
waists	{(waist)}	['waist']
waldo	{(waldo)}	['waldo']
wanks	{(wank)}	['wank']
wantoning	{(wanton)}	['wanton']
warwick	{(warwick)}	['warwick']
warwickshire	{(warwickshire)}	['warwickshire']
wavering	{(waver)}	['waver']
waymouth	{(waymouth)}	['waymouth']
webs	{(web)}	['web']
wendell	{(wendell)}	['wendell']
wetted	{(wet)}	['wet']
wharton	{(wharton)}	['wharton']
whitlow	{(whitlow)}	['whitlow']
whitlows	{(whitlow)}	['whitlow']
williams's	{(williams)}	['williams']
witting	{(wit)}	['wit']
wormed	{(worm)}	['worm']
wasps	{(wasp)}	['wasp']
wassails	{(wassail)}	['wassail']
wast	{(wast)}	['wast']
wastrel	{(wastrel)}	['wastrel']
wastrels	{(wastrel)}	['wastrel']
watchings	{(watch)}	['watch']
watling	{(watling)}	['watling']
wattle	{(wattle)}	['wattle']
watts	{(watt)}	['watt']
wavered	{(waver)}	['waver']
waxes	{(wax)}	['wax']
weal	{(weal)}	['weal']
weald	{(weald)}	['weald']
weals	{(weal)}	['weal']
weans	{(wean)}	['wean']
weasels	{(weasel)}	['weasel']
webb	{(webb)}	['webb']
webbed	{(webb)}	['webb']
webber	{(webber)}	['webber']
webbing	{(webb)}	['webb']
weber	{(weber)}	['weber']
wedges	{(wedge)}	['wedge']
wedgwood	{(wedgwood)}	['wedgwood']
weds	{(wed)}	['wed']
weeding	{(weed)}	['weed']
weeing	{(wee)}	['wee']
weeps	{(weep)}	['weep']
wees	{(wee)}	['wee']
weevil	{(weevil)}	['weevil']
weevils	{(weevil)}	['weevil']
weft	{(weft)}	['weft']
wefts	{(weft)}	['weft']
weil	{(weil)}	['weil']
weinberg	{(weinberg)}	['weinberg']
weinstein	{(weinstein)}	['weinstein']
weiss	{(weiss)}	['weiss']
weissman	{(weissman)}	['weissman']
welch	{(welch)}	['welch']
weldon	{(weldon)}	['weldon']
welds	{(weld)}	['weld']
welkin	{(welkin)}	['welkin']
well's	{(well)}	['well']
wellesley	{(wellesley)}	['wellesley']
wellington	{(wellington)}	['wellington']
wellingtons	{(wellington)}	['wellington']
welshed	{(welsh)}	['welsh']
welshes	{(welsh)}	['welsh']
welshing	{(welsh)}	['welsh']
weltered	{(welter)}	['welter']
weltering	{(welter)}	['welter']
welters	{(welter)}	['welter']
wen	{(wen)}	['wen']
wenched	{(wench)}	['wench']
wenches	{(wench)}	['wench']
wenching	{(wench)}	['wench']
wend	{(wend)}	['wend']
wens	{(wen)}	['wen']
wensleydale	{(wensleydale)}	['wensleydale']
wensleydales	{(wensleydale)}	['wensleydale']
wentworth	{(wentworth)}	['wentworth']
werner	{(werner)}	['werner']
wert	{(wert)}	['wert']
varian	{(varian)}	['varian']
variegate	{(variegate)}	['variegate']
variegated	{(variegate)}	['variegate']
variegates	{(variegate)}	['variegate']
varmints	{(varmint)}	['varmint']
varnished	{(varnish)}	['varnish']
varnishing	{(varnish)}	['varnish']
vasa	{(vasa)}	['vasa']
vassals	{(vassal)}	['vassal']
vats	{(vat)}	['vat']
vaughan	{(vaughan)}	['vaughan']
vaughn	{(vaughn)}	['vaughn']
vaulted	{(vault)}	['vault']
vaunt	{(vaunt)}	['vaunt']
vaunted	{(vaunt)}	['vaunt']
vaunting	{(vaunt)}	['vaunt']
vaunts	{(vaunt)}	['vaunt']
vegans	{(vegan)}	['vegan']
velasquez	{(velasquez)}	['velasquez']
veld	{(veld)}	['veld']
velds	{(veld)}	['veld']
veldt	{(veldt)}	['veldt']
venable	{(venable)}	['venable']
vended	{(vend)}	['vend']
vendettas	{(vendetta)}	['vendetta']
vends	{(vend)}	['vend']
veneered	{(veneer)}	['veneer']
veneering	{(veneer)}	['veneer']
veneers	{(veneer)}	['veneer']
venn	{(venn)}	['venn']
venomed	{(venom)}	['venom']
venting	{(vent)}	['vent']
ventura	{(ventura)}	['ventura']
venturi	{(venturi)}	['venturi']
venues	{(venue)}	['venue']
verbena	{(verbena)}	['verbena']
verbenas	{(verbena)}	['verbena']
verdi	{(verdi)}	['verdi']
verdicts	{(verdict)}	['verdict']
verdigris	{(verdigris)}	['verdigris']
vere	{(vere)}	['vere']
verger	{(verger)}	['verger']
vergers	{(verger)}	['verger']
vermeil	{(vermeil)}	['vermeil']
vernal	{(vernal)}	['vernal']
verne	{(verne)}	['verne']
vernier	{(vernier)}	['vernier']
vernon	{(vernon)}	['vernon']
vernor	{(vernor)}	['vernor']
veronicas	{(veronica)}	['veronica']
verruca	{(verruca)}	['verruca']
verrucas	{(verruca)}	['verruca']
versa	{(versa)}	['versa']
verso	{(verso)}	['verso']
versos	{(verso)}	['verso']
vertexes	{(vertex)}	['vertex']
verticals	{(vertical)}	['vertical']
vesta	{(vesta)}	['vesta']
vestibules	{(vestibule)}	['vestibule']
vestiges	{(vestige)}	['vestige']
vestry	{(vestry)}	['vestry']
vetch	{(vetch)}	['vetch']
vetches	{(vetch)}	['vetch']
vetoes	{(veto)}	['veto']
vetos	{(veto)}	['veto']
vets	{(vet)}	['vet']
vetted	{(vet)}	['vet']
vetting	{(vet)}	['vet']
vials	{(vial)}	['vial']
vibratos	{(vibrato)}	['vibrato']
vic	{(vic)}	['vic']
vicars	{(vicar)}	['vicar']
vichy	{(vichy)}	['vichy']
vickers	{(vickers)}	['vickers']
vicksburg	{(vicksburg)}	['vicksburg']
victors	{(victor)}	['victor']
vicuna	{(vicuna)}	['vicuna']
vidal	{(vidal)}	['vidal']
vide	{(vide)}	['vide']
videos	{(video)}	['video']
vieux	{(vieux)}	['vieux']
vigils	{(vigil)}	['vigil']
vignettes	{(vignette)}	['vignette']
villas	{(villa)}	['villa']
villein	{(villein)}	['villein']
villeins	{(villein)}	['villein']
vim	{(vim)}	['vim']
vindicates	{(vindicate)}	['vindicate']
vinegars	{(vinegar)}	['vinegar']
vino	{(vino)}	['vino']
vinoes	{(vino)}	['vino']
vinson	{(vinson)}	['vinson']
vintages	{(vintage)}	['vintage']
vintners	{(vintner)}	['vintner']
vinyls	{(vinyl)}	['vinyl']
viol	{(viol)}	['viol']
violas	{(viola)}	['viola']
vipers	{(viper)}	['viper']
virago	{(virago)}	['virago']
viragos	{(virago)}	['virago']
virgins	{(virgin)}	['virgin']
virgos	{(virgo)}	['virgo']
virgule	{(virgule)}	['virgule']
virgules	{(virgule)}	['virgule']
virtuosi	{(virtuosi)}	['virtuosi']
virtuosos	{(virtuoso)}	['virtuoso']
visaed	{(visa)}	['visa']
visages	{(visage)}	['visage']
visaing	{(visa)}	['visa']
visas	{(visa)}	['visa']
viscid	{(viscid)}	['viscid']
viscounts	{(viscount)}	['viscount']
visigoths	{(visigoth)}	['visigoth']
visors	{(visor)}	['visor']
vita	{(vita)}	['vita']
vitiate	{(vitiate)}	['vitiate']
vitiated	{(vitiate)}	['vitiate']
vitiates	{(vitiate)}	['vitiate']
viticulture	{(viticulture)}	['viticulture']
vitrify	{(vitrify)}	['vitrify']
vitrifying	{(vitrify)}	['vitrify']
vitriol	{(vitriol)}	['vitriol']
vittorio	{(vittorio)}	['vittorio']
vituperate	{(vituperate)}	['vituperate']
vituperated	{(vituperate)}	['vituperate']
vituperates	{(vituperate)}	['vituperate']
vivace	{(vivace)}	['vivace']
vivaldi	{(vivaldi)}	['vivaldi']
verdure	{(verdure)}	['verdure']
vermouths	{(vermouth)}	['vermouth']
vernaculars	{(vernacular)}	['vernacular']
vesper	{(vesper)}	['vesper']
vesting	{(vest)}	['vest']
vetoing	{(veto)}	['veto']
vicunas	{(vicuna)}	['vicuna']
viols	{(viol)}	['viol']
vulgate	{(vulgate)}	['vulgate']
vultures	{(vulture)}	['vulture']
vulvas	{(vulv)}	['vulv']
wadding	{(wad)}	['wad']
waddled	{(waddle)}	['waddle']
waddles	{(waddle)}	['waddle']
wades	{(wade)}	['wade']
wadi	{(wadi)}	['wadi']
wadis	{(wadi)}	['wadi']
wafers	{(wafer)}	['wafer']
waffled	{(waffle)}	['waffle']
wafted	{(waft)}	['waft']
wafting	{(waft)}	['waft']
wafts	{(waft)}	['waft']
waggles	{(waggle)}	['waggle']
wags	{(wag)}	['wag']
waifs	{(waif)}	['waif']
wain	{(wain)}	['wain']
wains	{(wain)}	['wain']
wainscots	{(wainscot)}	['wainscot']
waite	{(wait)}	['wait']
waives	{(waive)}	['waive']
walcott	{(walcott)}	['walcott']
wale	{(wale)}	['wale']
walford	{(walford)}	['walford']
wallah	{(wallah)}	['wallah']
wallahs	{(wallah)}	['wallah']
wallets	{(wallet)}	['wallet']
walling	{(wall)}	['wall']
wallingford	{(wallingford)}	['wallingford']
wallops	{(wallop)}	['wallop']
wallows	{(wallow)}	['wallow']
walpole	{(walpole)}	['walpole']
walruses	{(walrus)}	['walrus']
walsh	{(walsh)}	['walsh']
walsh's	{(walsh)}	['walsh']
waltham	{(waltham)}	['waltham']
waltzed	{(waltz)}	['waltz']
waltzes	{(waltz)}	['waltz']
waltzing	{(waltz)}	['waltz']
wampum	{(wampum)}	['wampum']
wan	{(wan)}	['wan']
wands	{(wand)}	['wand']
wanes	{(wane)}	['wane']
wangle	{(wangle)}	['wangle']
wangled	{(wangle)}	['wangle']
wangles	{(wangle)}	['wangle']
wank	{(wank)}	['wank']
wanked	{(wank)}	['wank']
wanking	{(wank)}	['wank']
wantoned	{(wanton)}	['wanton']
wantons	{(wanton)}	['wanton']
wapiti	{(wapiti)}	['wapiti']
wapitis	{(wapiti)}	['wapiti']
wappinger	{(wappinger)}	['wappinger']
warbled	{(warble)}	['warble']
warbles	{(warble)}	['warble']
warlocks	{(warlock)}	['warlock']
warner	{(warner)}	['warner']
warps	{(warp)}	['warp']
warranting	{(warrant)}	['warrant']
warrens	{(warren)}	['warren']
warrenton	{(warrenton)}	['warrenton']
upping	{(up)}	['up']
upton	{(upton)}	['upton']
uranyl	{(uranyl)}	['uranyl']
urbana	{(urbana)}	['urbana']
urchins	{(urchin)}	['urchin']
urdu	{(urdu)}	['urdu']
uremia	{(uremia)}	['uremia']
ursuline	{(ursuline)}	['ursuline']
ushering	{(usher)}	['usher']
ushers	{(usher)}	['usher']
usurping	{(usurp)}	['usurp']
usurps	{(usurp)}	['usurp']
utters	{(utter)}	['utter']
uvula	{(uvula)}	['uvula']
uvulas	{(uvula)}	['uvula']
vaccines	{(vaccine)}	['vaccine']
vacillated	{(vacillate)}	['vacillate']
vacillates	{(vacillate)}	['vacillate']
vaginas	{(vagina)}	['vagina']
vagrancy	{(vagrancy)}	['vagrancy']
vagrants	{(vagrant)}	['vagrant']
valentines	{(valentine)}	['valentine']
valery	{(valery)}	['valery']
vales	{(val)}	['val']
valeted	{(valet)}	['valet']
valeting	{(valet)}	['valet']
valets	{(valet)}	['valet']
valetudinary	{(valetudinary)}	['valetudinary']
valise	{(valise)}	['valise']
valises	{(valise)}	['valise']
valvular	{(valvular)}	['valvular']
vamoosed	{(vamoose)}	['vamoose']
vamooses	{(vamoose)}	['vamoose']
vamped	{(vamp)}	['vamp']
vamping	{(vamp)}	['vamp']
vamps	{(vamp)}	['vamp']
vanadium	{(vanadium)}	['vanadium']
vanes	{(vane)}	['vane']
vanguards	{(vanguard)}	['vanguard']
