word1	pos1	word2	pos2	wup_similarity	bert_split_class	freq1	freq2	bert_split_word1	bert_split_word2	xlnet_split_class	xlnet_split_word1	xlnet_split_word2	electra_split_class	electra_split_word1	electra_split_word2	fasttext_split_class
litigate	v	ruminate	v	0.1428571428571428	2-split	2.43	2.17	['lit', '##igate']	['rum', '##inate']	2-split	['▁lit', 'i', 'gate']	['▁', 'rum', 'inate']	2-split	['lit', '##igate']	['rum', '##inate']	0-split
curtail	v	flout	v	0.1818181818181818	2-split	2.98	2.25	['curt', '##ail']	['fl', '##out']	1-split	['▁curtail']	['▁fl', 'out']	2-split	['curt', '##ail']	['fl', '##out']	0-split
requisition	v	unroll	v	0.1818181818181818	2-split	2.69	2.26	['re', '##qui', '##sit', '##ion']	['un', '##roll']	2-split	['▁', 're', 'quisition']	['▁un', 'roll']	2-split	['re', '##qui', '##sit', '##ion']	['un', '##roll']	0-split
channelise	v	symbolise	v	0.1538461538461538	2-split	0.0	2.49	['channel', '##ise']	['symbol', '##ise']	2-split	['▁channel', 'ise']	['▁symbol', 'ise']	2-split	['channel', '##ise']	['symbol', '##ise']	0-split
excoriate	v	prophesy	v	0.1666666666666666	2-split	1.64	2.66	['ex', '##cor', '##iate']	['prop', '##hes', '##y']	2-split	['▁ex', 'cor', 'iate']	['▁pro', 'phe', 's', 'y']	2-split	['ex', '##cor', '##iate']	['prop', '##hes', '##y']	0-split
deflagrate	v	expound	v	0.1818181818181818	2-split	0.0	2.49	['def', '##lag', '##rate']	['expo', '##und']	2-split	['▁def', 'lag', 'rate']	['▁ex', 'pound']	2-split	['def', '##lag', '##rate']	['expo', '##und']	0-split
gazump	v	jinx	v	0.1666666666666666	2-split	1.34	3.14	['ga', '##zu', '##mp']	['jin', '##x']	2-split	['▁', 'gaz', 'ump']	['▁', 'jin', 'x']	2-split	['ga', '##zu', '##mp']	['jin', '##x']	0-split
enlighten	v	reincarnate	v	0.1666666666666666	2-split	3.22	2.24	['en', '##light', '##en']	['rein', '##car', '##nate']	1-split	['▁enlighten']	['▁rein', 'car', 'nate']	2-split	['en', '##light', '##en']	['rein', '##car', '##nate']	0-split
admonish	v	wattle	v	0.1818181818181818	2-split	2.29	2.52	['ad', '##mon', '##ish']	['watt', '##le']	1-split	['▁admonish']	['▁', 'watt', 'le']	2-split	['ad', '##mon', '##ish']	['watt', '##le']	0-split
expound	v	mitigate	v	0.1666666666666666	2-split	2.49	3.54	['expo', '##und']	['mit', '##igate']	1-split	['▁ex', 'pound']	['▁mitigate']	2-split	['expo', '##und']	['mit', '##igate']	0-split
embattle	v	hypothecate	v	0.1818181818181818	2-split	0.0	1.09	['em', '##bat', '##tle']	['h', '##yp', '##oth', '##eca', '##te']	2-split	['▁', 'emba', 'ttle']	['▁hypo', 'the', 'cate']	2-split	['em', '##bat', '##tle']	['h', '##yp', '##oth', '##eca', '##te']	1-split
roughcast	v	warble	v	0.1666666666666666	2-split	1.3	2.08	['rough', '##cast']	['war', '##ble']	2-split	['▁rough', 'cast']	['▁war', 'ble']	2-split	['rough', '##cast']	['war', '##ble']	0-split
admonish	v	macerate	v	0.1818181818181818	2-split	2.29	1.51	['ad', '##mon', '##ish']	['mace', '##rate']	1-split	['▁admonish']	['▁mac', 'er', 'ate']	2-split	['ad', '##mon', '##ish']	['mace', '##rate']	0-split
adumbrate	v	sizzle	v	0.1428571428571428	2-split	1.07	2.8	['ad', '##umb', '##rate']	['si', '##zzle']	2-split	['▁a', 'dum', 'b', 'rate']	['▁', 'si', 'zzle']	2-split	['ad', '##umb', '##rate']	['si', '##zzle']	0-split
adjure	v	impede	v	0.1666666666666666	2-split	1.33	3.14	['ad', '##jure']	['imp', '##ede']	1-split	['▁a', 'dj', 'ure']	['▁impede']	2-split	['ad', '##jure']	['imp', '##ede']	0-split
librate	v	revamp	v	0.1818181818181818	2-split	0.0	3.2	['li', '##brate']	['rev', '##amp']	1-split	['▁', 'lib', 'rate']	['▁revamp']	2-split	['li', '##brate']	['rev', '##amp']	0-split
maul	v	overcapitalise	v	0.1818181818181818	2-split	2.9	0.0	['ma', '##ul']	['over', '##cap', '##ital', '##ise']	2-split	['▁', 'ma', 'ul']	['▁over', 'capital', 'ise']	2-split	['ma', '##ul']	['over', '##cap', '##ital', '##ise']	1-split
underspend	v	whipsaw	v	0.1666666666666666	2-split	1.29	1.46	['under', '##sp', '##end']	['whip', '##sa', '##w']	2-split	['▁under', 'spend']	['▁whip', 's', 'aw']	2-split	['under', '##sp', '##end']	['whip', '##sa', '##w']	0-split
stave	v	tamper	v	0.1818181818181818	2-split	3.04	2.89	['st', '##ave']	['tam', '##per']	0-split	['▁stave']	['▁tamper']	2-split	['st', '##ave']	['tam', '##per']	0-split
fractionate	v	tattle	v	0.1818181818181818	2-split	1.22	2.34	['fraction', '##ate']	['ta', '##ttle']	2-split	['▁fraction', 'ate']	['▁', 'ta', 'ttle']	2-split	['fraction', '##ate']	['ta', '##ttle']	0-split
connote	v	diminish	v	0.1428571428571428	2-split	1.97	3.46	['con', '##note']	['dim', '##ini', '##sh']	1-split	['▁con', 'note']	['▁diminish']	2-split	['con', '##note']	['dim', '##ini', '##sh']	0-split
rustle	v	supplicate	v	0.1818181818181818	2-split	2.72	1.65	['rust', '##le']	['su', '##pp', '##lica', '##te']	2-split	['▁rust', 'le']	['▁', 's', 'up', 'plica', 'te']	2-split	['rust', '##le']	['su', '##pp', '##lica', '##te']	0-split
adjure	v	calve	v	0.1538461538461538	2-split	1.33	1.96	['ad', '##jure']	['cal', '##ve']	2-split	['▁a', 'dj', 'ure']	['▁', 'cal', 've']	2-split	['ad', '##jure']	['cal', '##ve']	0-split
renegotiate	v	tinker	v	0.1666666666666666	2-split	2.72	3.28	['rene', '##go', '##tia', '##te']	['tin', '##ker']	1-split	['▁', 're', 'ne', 'got', 'iate']	['▁tinker']	2-split	['rene', '##go', '##tia', '##te']	['tin', '##ker']	0-split
countermarch	v	jib	v	0.1818181818181818	2-split	1.05	2.79	['counter', '##mar', '##ch']	['ji', '##b']	2-split	['▁counter', 'm', 'arch']	['▁', 'ji', 'b']	2-split	['counter', '##mar', '##ch']	['ji', '##b']	0-split
expound	v	malt	v	0.1666666666666666	2-split	2.49	3.41	['expo', '##und']	['mal', '##t']	2-split	['▁ex', 'pound']	['▁', 'mal', 't']	2-split	['expo', '##und']	['mal', '##t']	0-split
gazump	v	shoal	v	0.1818181818181818	2-split	1.34	2.93	['ga', '##zu', '##mp']	['sho', '##al']	2-split	['▁', 'gaz', 'ump']	['▁', 'sho', 'al']	2-split	['ga', '##zu', '##mp']	['sho', '##al']	0-split
mesmerize	v	wrangle	v	0.1818181818181818	2-split	1.97	2.6	['me', '##sm', '##eri', '##ze']	['wr', '##ang', '##le']	2-split	['▁me', 's', 'mer', 'ize']	['▁', 'wr', 'angle']	2-split	['me', '##sm', '##eri', '##ze']	['wr', '##ang', '##le']	0-split
adjure	v	coo	v	0.1666666666666666	2-split	1.33	3.3	['ad', '##jure']	['co', '##o']	2-split	['▁a', 'dj', 'ure']	['▁co', 'o']	2-split	['ad', '##jure']	['co', '##o']	0-split
crape	v	renegotiate	v	0.1666666666666666	2-split	1.83	2.72	['crap', '##e']	['rene', '##go', '##tia', '##te']	2-split	['▁crap', 'e']	['▁', 're', 'ne', 'got', 'iate']	2-split	['crap', '##e']	['rene', '##go', '##tia', '##te']	0-split
exude	v	stipulate	v	0.1818181818181818	2-split	2.52	2.77	['ex', '##ude']	['st', '##ip', '##ulate']	1-split	['▁ex', 'ude']	['▁stipulate']	2-split	['ex', '##ude']	['st', '##ip', '##ulate']	0-split
motorize	v	repudiate	v	0.1818181818181818	2-split	0.0	2.45	['motor', '##ize']	['rep', '##udi', '##ate']	2-split	['▁motor', 'ize']	['▁rep', 'udi', 'ate']	2-split	['motor', '##ize']	['rep', '##udi', '##ate']	0-split
coggle	v	cosign	v	0.1818181818181818	2-split	0.0	2.0	['co', '##ggle']	['co', '##si', '##gn']	2-split	['▁co', 'ggle']	['▁co', 'sign']	2-split	['co', '##ggle']	['co', '##si', '##gn']	1-split
adumbrate	v	jellify	v	0.1428571428571428	2-split	1.07	0.0	['ad', '##umb', '##rate']	['je', '##lli', '##fy']	2-split	['▁a', 'dum', 'b', 'rate']	['▁', 'je', 'll', 'ify']	2-split	['ad', '##umb', '##rate']	['je', '##lli', '##fy']	1-split
infix	v	propagandize	v	0.1818181818181818	2-split	1.76	1.71	['in', '##fi', '##x']	['prop', '##aga', '##ndi', '##ze']	2-split	['▁in', 'fix']	['▁pro', 'pagan', 'd', 'ize']	2-split	['in', '##fi', '##x']	['prop', '##aga', '##ndi', '##ze']	0-split
bungle	v	exposit	v	0.1818181818181818	2-split	2.41	0.0	['bun', '##gle']	['expo', '##sit']	2-split	['▁', 'bung', 'le']	['▁ex', 'posit']	2-split	['bun', '##gle']	['expo', '##sit']	0-split
enjoin	v	throb	v	0.1538461538461538	2-split	2.19	2.68	['en', '##jo', '##in']	['th', '##ro', '##b']	2-split	['▁', 'en', 'jo', 'in']	['▁', 'th', 'rob']	2-split	['en', '##jo', '##in']	['th', '##ro', '##b']	0-split
assibilate	v	typify	v	0.1538461538461538	2-split	0.0	2.01	['ass', '##ib', '##ila', '##te']	['ty', '##pi', '##fy']	2-split	['▁as', 's', 'ibi', 'late']	['▁', 'typ', 'ify']	2-split	['ass', '##ib', '##ila', '##te']	['ty', '##pi', '##fy']	1-split
ooze	v	sneer	v	0.1818181818181818	2-split	2.8	2.7	['o', '##oz', '##e']	['s', '##neer']	1-split	['▁', 'oo', 'ze']	['▁sneer']	2-split	['o', '##oz', '##e']	['s', '##neer']	0-split
fagot	v	whipsaw	v	0.1818181818181818	2-split	1.98	1.46	['fa', '##go', '##t']	['whip', '##sa', '##w']	2-split	['▁', 'fa', 'got']	['▁whip', 's', 'aw']	2-split	['fa', '##go', '##t']	['whip', '##sa', '##w']	0-split
adjure	v	enkindle	v	0.1666666666666666	2-split	1.33	1.33	['ad', '##jure']	['en', '##kind', '##le']	2-split	['▁a', 'dj', 'ure']	['▁', 'en', 'kind', 'le']	2-split	['ad', '##jure']	['en', '##kind', '##le']	0-split
admonish	v	knap	v	0.1818181818181818	2-split	2.29	1.61	['ad', '##mon', '##ish']	['kn', '##ap']	1-split	['▁admonish']	['▁', 'k', 'nap']	2-split	['ad', '##mon', '##ish']	['kn', '##ap']	0-split
agglutinate	v	expound	v	0.1666666666666666	2-split	1.19	2.49	['ag', '##gl', '##uti', '##nate']	['expo', '##und']	2-split	['▁a', 'gg', 'lu', 't', 'inate']	['▁ex', 'pound']	2-split	['ag', '##gl', '##uti', '##nate']	['expo', '##und']	0-split
catechize	v	whet	v	0.1818181818181818	2-split	1.16	2.62	['cat', '##ech', '##ize']	['w', '##het']	2-split	['▁ca', 'tech', 'ize']	['▁wh', 'et']	2-split	['cat', '##ech', '##ize']	['w', '##het']	0-split
annul	v	saccharify	v	0.1818181818181818	2-split	2.49	0.0	['ann', '##ul']	['sac', '##cha', '##ri', '##fy']	1-split	['▁annul']	['▁', 'sac', 'char', 'ify']	2-split	['ann', '##ul']	['sac', '##cha', '##ri', '##fy']	1-split
recombine	v	requisition	v	0.1818181818181818	2-split	2.07	2.69	['rec', '##om', '##bine']	['re', '##qui', '##sit', '##ion']	2-split	['▁', 're', 'comb', 'ine']	['▁', 're', 'quisition']	2-split	['rec', '##om', '##bine']	['re', '##qui', '##sit', '##ion']	0-split
constrain	v	demoralize	v	0.1818181818181818	2-split	2.82	2.2	['con', '##stra', '##in']	['demo', '##ral', '##ize']	2-split	['▁cons', 'train']	['▁de', 'moral', 'ize']	2-split	['con', '##stra', '##in']	['demo', '##ral', '##ize']	0-split
adumbrate	v	subtract	v	0.1333333333333333	2-split	1.07	3.1	['ad', '##umb', '##rate']	['sub', '##tra', '##ct']	1-split	['▁a', 'dum', 'b', 'rate']	['▁subtract']	2-split	['ad', '##umb', '##rate']	['sub', '##tra', '##ct']	0-split
emphasise	v	subside	v	0.1428571428571428	2-split	3.07	2.88	['emphasis', '##e']	['sub', '##side']	2-split	['▁emphasis', 'e']	['▁sub', 'side']	2-split	['emphasis', '##e']	['sub', '##side']	0-split
alight	v	enjoin	v	0.1538461538461538	2-split	3.0	2.19	['ali', '##ght']	['en', '##jo', '##in']	2-split	['▁a', 'light']	['▁', 'en', 'jo', 'in']	2-split	['ali', '##ght']	['en', '##jo', '##in']	0-split
anticipate	v	objurgate	v	0.1818181818181818	2-split	3.73	0.0	['anti', '##ci', '##pate']	['ob', '##ju', '##rga', '##te']	1-split	['▁anticipate']	['▁ob', 'jur', 'gate']	2-split	['anti', '##ci', '##pate']	['ob', '##ju', '##rga', '##te']	1-split
chisel	v	misspend	v	0.1666666666666666	2-split	2.96	0.0	['chi', '##sel']	['miss', '##pen', '##d']	1-split	['▁chisel']	['▁mis', 'spend']	2-split	['chi', '##sel']	['miss', '##pen', '##d']	0-split
foreordain	v	twirl	v	0.1818181818181818	2-split	0.0	2.69	['fore', '##ord', '##ain']	['t', '##wi', '##rl']	1-split	['▁for', 'e', 'or', 'da', 'in']	['▁twirl']	2-split	['fore', '##ord', '##ain']	['t', '##wi', '##rl']	0-split
commentate	v	improvise	v	0.1818181818181818	2-split	2.23	3.02	['comment', '##ate']	['imp', '##rov', '##ise']	2-split	['▁comment', 'ate']	['▁improv', 'ise']	2-split	['comment', '##ate']	['imp', '##rov', '##ise']	0-split
loll	v	renegotiate	v	0.1666666666666666	2-split	2.25	2.72	['lo', '##ll']	['rene', '##go', '##tia', '##te']	2-split	['▁lo', 'll']	['▁', 're', 'ne', 'got', 'iate']	2-split	['lo', '##ll']	['rene', '##go', '##tia', '##te']	0-split
adjure	v	demur	v	0.1333333333333333	2-split	1.33	1.78	['ad', '##jure']	['dem', '##ur']	2-split	['▁a', 'dj', 'ure']	['▁de', 'mur']	2-split	['ad', '##jure']	['dem', '##ur']	0-split
chequer	v	demur	v	0.1818181818181818	2-split	1.63	1.78	['che', '##que', '##r']	['dem', '##ur']	2-split	['▁cheque', 'r']	['▁de', 'mur']	2-split	['che', '##que', '##r']	['dem', '##ur']	0-split
conjugate	v	expound	v	0.1818181818181818	2-split	2.86	2.49	['con', '##ju', '##gate']	['expo', '##und']	2-split	['▁con', 'ju', 'gate']	['▁ex', 'pound']	2-split	['con', '##ju', '##gate']	['expo', '##und']	0-split
intumesce	v	unteach	v	0.1666666666666666	2-split	0.0	0.0	['int', '##ume', '##sc', '##e']	['un', '##tea', '##ch']	2-split	['▁in', 'tum', 'es', 'ce']	['▁', 'unt', 'each']	2-split	['int', '##ume', '##sc', '##e']	['un', '##tea', '##ch']	1-split
lop	v	sonnet	v	0.1818181818181818	2-split	2.7	2.96	['lo', '##p']	['son', '##net']	2-split	['▁', 'lop']	['▁son', 'net']	2-split	['lo', '##p']	['son', '##net']	0-split
overexpose	v	stipulate	v	0.1538461538461538	2-split	1.36	2.77	['over', '##ex', '##pose']	['st', '##ip', '##ulate']	1-split	['▁over', 'ex', 'pose']	['▁stipulate']	2-split	['over', '##ex', '##pose']	['st', '##ip', '##ulate']	0-split
adjure	v	fluff	v	0.1666666666666666	2-split	1.33	3.2	['ad', '##jure']	['flu', '##ff']	2-split	['▁a', 'dj', 'ure']	['▁flu', 'ff']	2-split	['ad', '##jure']	['flu', '##ff']	0-split
motorize	v	preen	v	0.1818181818181818	2-split	0.0	2.16	['motor', '##ize']	['pre', '##en']	2-split	['▁motor', 'ize']	['▁pre', 'en']	2-split	['motor', '##ize']	['pre', '##en']	0-split
concatenate	v	discountenance	v	0.1818181818181818	2-split	1.69	0.0	['con', '##cate', '##nate']	['discount', '##ena', '##nce']	2-split	['▁con', 'cate', 'nate']	['▁discount', 'en', 'ance']	2-split	['con', '##cate', '##nate']	['discount', '##ena', '##nce']	0-split
catechize	v	overshadow	v	0.1818181818181818	2-split	1.16	2.71	['cat', '##ech', '##ize']	['overs', '##had', '##ow']	2-split	['▁ca', 'tech', 'ize']	['▁over', 'sha', 'dow']	2-split	['cat', '##ech', '##ize']	['overs', '##had', '##ow']	0-split
emphasise	v	wive	v	0.1333333333333333	2-split	3.07	1.75	['emphasis', '##e']	['wi', '##ve']	2-split	['▁emphasis', 'e']	['▁', 'wi', 've']	2-split	['emphasis', '##e']	['wi', '##ve']	0-split
befool	v	rivet	v	0.1818181818181818	2-split	0.0	2.69	['be', '##fo', '##ol']	['ri', '##vet']	2-split	['▁be', 'fo', 'ol']	['▁', 'ri', 've', 't']	2-split	['be', '##fo', '##ol']	['ri', '##vet']	0-split
cobble	v	enlighten	v	0.1666666666666666	2-split	2.72	3.22	['cobb', '##le']	['en', '##light', '##en']	0-split	['▁cobble']	['▁enlighten']	2-split	['cobb', '##le']	['en', '##light', '##en']	0-split
mumble	v	retrench	v	0.1818181818181818	2-split	2.91	1.82	['mum', '##ble']	['re', '##tre', '##nch']	2-split	['▁', 'm', 'umble']	['▁', 're', 't', 're', 'nch']	2-split	['mum', '##ble']	['re', '##tre', '##nch']	0-split
catechise	v	joggle	v	0.1818181818181818	2-split	0.0	1.14	['cat', '##ech', '##ise']	['jo', '##ggle']	2-split	['▁ca', 'tech', 'ise']	['▁', 'jo', 'ggle']	2-split	['cat', '##ech', '##ise']	['jo', '##ggle']	0-split
constrain	v	swill	v	0.1666666666666666	2-split	2.82	2.32	['con', '##stra', '##in']	['sw', '##ill']	2-split	['▁cons', 'train']	['▁', 's', 'will']	2-split	['con', '##stra', '##in']	['sw', '##ill']	0-split
emphasise	v	fink	v	0.1538461538461538	2-split	3.07	3.07	['emphasis', '##e']	['fin', '##k']	2-split	['▁emphasis', 'e']	['▁', 'fin', 'k']	2-split	['emphasis', '##e']	['fin', '##k']	0-split
infect	v	objurgate	v	0.1818181818181818	2-split	3.36	0.0	['in', '##fect']	['ob', '##ju', '##rga', '##te']	2-split	['▁in', 'fect']	['▁ob', 'jur', 'gate']	2-split	['in', '##fect']	['ob', '##ju', '##rga', '##te']	1-split
commentate	v	prolong	v	0.1666666666666666	2-split	2.23	3.21	['comment', '##ate']	['pro', '##long']	1-split	['▁comment', 'ate']	['▁prolong']	2-split	['comment', '##ate']	['pro', '##long']	0-split
superscribe	v	wad	v	0.1818181818181818	2-split	0.0	3.06	['super', '##scribe']	['wa', '##d']	2-split	['▁super', 'scribe']	['▁', 'wad']	2-split	['super', '##scribe']	['wa', '##d']	1-split
evict	v	underspend	v	0.1818181818181818	2-split	2.97	1.29	['ev', '##ic', '##t']	['under', '##sp', '##end']	2-split	['▁', 'evic', 't']	['▁under', 'spend']	2-split	['ev', '##ic', '##t']	['under', '##sp', '##end']	0-split
constrict	v	luxuriate	v	0.1818181818181818	2-split	2.33	2.09	['con', '##st', '##ric', '##t']	['lux', '##uria', '##te']	1-split	['▁constrict']	['▁', 'lux', 'uri', 'ate']	2-split	['con', '##st', '##ric', '##t']	['lux', '##uria', '##te']	0-split
befool	v	whish	v	0.1818181818181818	2-split	0.0	2.02	['be', '##fo', '##ol']	['w', '##his', '##h']	2-split	['▁be', 'fo', 'ol']	['▁wh', 'ish']	2-split	['be', '##fo', '##ol']	['w', '##his', '##h']	0-split
connote	v	decompress	v	0.1428571428571428	2-split	1.97	2.47	['con', '##note']	['deco', '##mp', '##ress']	2-split	['▁con', 'note']	['▁de', 'com', 'press']	2-split	['con', '##note']	['deco', '##mp', '##ress']	0-split
enliven	v	flout	v	0.1818181818181818	2-split	2.41	2.25	['en', '##li', '##ven']	['fl', '##out']	2-split	['▁', 'en', 'live', 'n']	['▁fl', 'out']	2-split	['en', '##li', '##ven']	['fl', '##out']	0-split
dogmatise	v	wager	v	0.1818181818181818	2-split	0.0	3.43	['dog', '##mat', '##ise']	['wage', '##r']	2-split	['▁dog', 'mat', 'ise']	['▁', 'wager']	2-split	['dog', '##mat', '##ise']	['wage', '##r']	1-split
ravage	v	requisition	v	0.1818181818181818	2-split	2.58	2.69	['ra', '##va', '##ge']	['re', '##qui', '##sit', '##ion']	2-split	['▁', 'rav', 'age']	['▁', 're', 'quisition']	2-split	['ra', '##va', '##ge']	['re', '##qui', '##sit', '##ion']	0-split
catechise	v	reorganize	v	0.1818181818181818	2-split	0.0	2.8	['cat', '##ech', '##ise']	['re', '##org', '##ani', '##ze']	2-split	['▁ca', 'tech', 'ise']	['▁', 're', 'organ', 'ize']	2-split	['cat', '##ech', '##ise']	['re', '##org', '##ani', '##ze']	0-split
treble	v	vaticinate	v	0.1666666666666666	2-split	3.33	0.0	['tre', '##ble']	['va', '##tic', '##inate']	2-split	['▁', 't', 're', 'ble']	['▁', 'va', 'tic', 'inate']	2-split	['tre', '##ble']	['va', '##tic', '##inate']	1-split
motorize	v	singe	v	0.1818181818181818	2-split	0.0	2.43	['motor', '##ize']	['sing', '##e']	2-split	['▁motor', 'ize']	['▁sing', 'e']	2-split	['motor', '##ize']	['sing', '##e']	0-split
